Network,MAC,SSID,Frequency,Signal,Lat,Lon,Alt,Time,,DiffLat,DiffLon,DiffAlt,Network,MAC,SSID,Frequency,Signal,Lat,Lon,Alt,Time
184,00:1a:dd:f4:f5:c4, ,13,-87,32.10547425,35.20978571,689.0514533,03/12/2017 08:39,Approx. w-center algo1,0,0,0,144,00:1a:dd:f4:f5:c4, ,13,-87,32.10547425,35.20978571,689.0514533,03/12/2017 08:38
185,00:1a:dd:f4:f5:c5,Afikim_Wifi,13,-85,32.10513955,35.20907112,689.2440822,03/12/2017 08:38,Approx. w-center algo1,0,0,0,143,00:1a:dd:f4:f5:c5,Afikim_Wifi,13,-85,32.10513955,35.20907112,689.2440822,03/12/2017 08:38
216,00:1a:dd:f4:fc:64, ,1,-87,32.10621149,35.21194839,689.2763253,03/12/2017 08:39,Approx. w-center algo1,0,0,0,198,00:1a:dd:f4:fc:64, ,1,-87,32.10621149,35.21194839,689.2763253,03/12/2017 08:39
219,00:1a:dd:f4:fc:65,Afikim_Wifi,1,-90,32.10621149,35.21194839,689.2763253,03/12/2017 08:39,Approx. w-center algo1,0,0,0,196,00:1a:dd:f4:fc:65,Afikim_Wifi,1,-90,32.10621149,35.21194839,689.2763253,03/12/2017 08:39
21,00:1a:dd:f4:fc:84, ,8,-77,32.10621149,35.21194839,689.2763253,03/12/2017 08:39,Approx. w-center algo1,0,0,0,165,00:1a:dd:f4:fc:84, ,8,-77,32.10621149,35.21194839,689.2763253,03/12/2017 08:39
17,00:1a:dd:f4:fc:85,Afikim_Wifi,8,-78,32.10621149,35.21194839,689.2763253,03/12/2017 08:39,Approx. w-center algo1,0,0,0,162,00:1a:dd:f4:fc:85,Afikim_Wifi,8,-78,32.10621149,35.21194839,689.2763253,03/12/2017 08:39
150,00:1a:dd:f5:06:a4, ,13,-83,32.10593532,35.21038077,688.6045855,03/12/2017 08:39,Approx. w-center algo1,0,0,0,85,00:1a:dd:f5:06:a4, ,13,-83,32.10593532,35.21038077,688.6045855,03/12/2017 08:39
152,00:1a:dd:f5:06:a5,Afikim_Wifi,13,-84,32.10593532,35.21038077,688.6045855,03/12/2017 08:39,Approx. w-center algo1,0,0,0,84,00:1a:dd:f5:06:a5,Afikim_Wifi,13,-84,32.10593532,35.21038077,688.6045855,03/12/2017 08:39
238,00:1a:dd:f5:df:c4, ,6,-89,32.10494483,35.2104469,717.6172124,03/12/2017 08:49,Approx. w-center algo1,0,0,0,61,00:1a:dd:f5:df:c4, ,6,-89,32.10494483,35.2104469,717.6172124,03/12/2017 08:49
239,00:1a:dd:f5:df:c5,Afikim_Wifi,6,-89,32.1048821,35.21037361,704.0554242,03/12/2017 08:49,Approx. w-center algo1,0,0,0,60,00:1a:dd:f5:df:c5,Afikim_Wifi,6,-89,32.1048821,35.21037361,704.0554242,03/12/2017 08:49
217,00:1a:dd:f5:e2:e4, ,8,-88,32.10468232,35.20992543,710.2256059,03/12/2017 08:45,Approx. w-center algo1,0,0,0,310,00:1a:dd:f5:e2:e4, ,8,-88,32.10468232,35.20992543,710.2256059,03/12/2017 08:45
221,00:1a:dd:f5:e2:e5,Afikim_Wifi,8,-81,32.10477223,35.21012821,702.7538803,03/12/2017 08:45,Approx. w-center algo1,0,0,0,309,00:1a:dd:f5:e2:e5,Afikim_Wifi,8,-81,32.10477223,35.21012821,702.7538803,03/12/2017 08:45
154,00:1a:dd:f5:e9:24,PEPWAVE_C99D,1,-59,32.10546047,35.21025745,689.4884991,03/12/2017 08:39,Approx. w-center algo1,0,0,0,376,00:1a:dd:f5:e9:24,PEPWAVE_C99D,1,-59,32.10546047,35.21025745,689.4884991,03/12/2017 08:39
153,00:1a:dd:f5:e9:25,Afikim-73925,1,-58,32.10595771,35.21055455,688.6715462,03/12/2017 08:39,Approx. w-center algo1,0,0,0,374,00:1a:dd:f5:e9:25,Afikim-73925,1,-58,32.10595771,35.21055455,688.6715462,03/12/2017 08:38
30,00:1d:aa:81:d8:3c,KCG-ADSL,3,-64,32.10285315,35.20978332,703.735799,03/12/2017 09:04,Approx. w-center algo1,0,0,0,225,00:1d:aa:81:d8:3c,KCG-ADSL,3,-64,32.10285315,35.20978332,703.735799,03/12/2017 08:41
298,00:21:04:4c:2a:a2,Yan,6,-89,32.10252819,35.2073457,700.1622739,03/12/2017 08:37,Approx. w-center algo1,0,0,0,158,00:21:04:4c:2a:a2,Yan,6,-89,32.10252819,35.2073457,700.1622739,03/12/2017 08:37
77,00:25:86:cc:00:f8,AUC_54_R,5,-74,32.10365113,35.20818645,693.5284771,03/12/2017 08:38,Approx. w-center algo1,0,0,0,287,00:25:86:cc:00:f8,AUC_54_R,5,-74,32.10365113,35.20818645,693.5284771,03/12/2017 08:37
306,00:25:86:cc:07:b2,KCG_54,2,-87,32.10410016,35.20842792,703.2732684,03/12/2017 08:38,Approx. w-center algo1,0,0,0,397,00:25:86:cc:07:b2,KCG_54,2,-87,32.10410016,35.20842792,703.2732684,03/12/2017 08:38
48,00:27:19:13:fc:a4,KCG_20,11,-85,32.10520095,35.21181345,694.5187617,03/12/2017 08:39,Approx. w-center algo1,0,0,0,197,00:27:19:13:fc:a4,KCG_20,11,-85,32.10520095,35.21181345,694.5187617,03/12/2017 08:39
321,00:27:19:e3:2d:fe,AUC_51_3,1,-86,32.1025333,35.20726399,699.2877605,03/12/2017 08:37,Approx. w-center algo1,0,0,0,323,00:27:19:e3:2d:fe,AUC_51_3,1,-86,32.1025333,35.20726399,699.2877605,03/12/2017 08:37
384,00:27:22:f3:a6:9a, ,6,-85,32.10580185,35.2101048,688.5497027,03/12/2017 08:38,Approx. w-center algo1,0,0,0,172,00:27:22:f3:a6:9a, ,6,-85,32.10580185,35.2101048,688.5497027,03/12/2017 08:38
99,00:27:22:f3:bb:2b, ,6,-85,32.10405974,35.20942539,705.4863232,03/12/2017 08:41,Approx. w-center algo1,0,0,0,273,00:27:22:f3:bb:2b, ,6,-85,32.10405974,35.20942539,705.4863232,03/12/2017 08:41
69,00:27:22:f3:bb:3a, ,6,-86,32.10353355,35.20781292,690.579513,03/12/2017 08:38,Approx. w-center algo1,0,0,0,251,00:27:22:f3:bb:3a, ,6,-86,32.10353355,35.20781292,690.579513,03/12/2017 08:38
324,00:27:22:f3:bb:86, ,6,-81,32.10375725,35.20784016,690.4441103,03/12/2017 08:38,Approx. w-center algo1,0,0,0,184,00:27:22:f3:bb:86, ,6,-81,32.10375725,35.20784016,690.4441103,03/12/2017 08:38
362,00:27:22:f3:e0:83, ,1,-88,32.10473074,35.20808402,689.6319853,03/12/2017 08:38,Approx. w-center algo1,0,0,0,120,00:27:22:f3:e0:83, ,1,-88,32.10473074,35.20808402,689.6319853,03/12/2017 08:38
202,00:27:22:f3:e2:f3, ,6,-81,32.10592452,35.21055875,688.6737904,03/12/2017 08:39,Approx. w-center algo1,0,0,0,305,00:27:22:f3:e2:f3, ,6,-81,32.10592452,35.21055875,688.6737904,03/12/2017 08:38
72,00:8c:54:90:ce:d1,victoria,11,-89,32.10251744,35.20733873,695.5775666,03/12/2017 08:37,Approx. w-center algo1,0,0,0,282,00:8c:54:90:ce:d1,victoria,11,-89,32.10251744,35.20733873,695.5775666,03/12/2017 08:37
5,06:ae:db:3a:64:05,BezeqFree,1,-84,32.10245839,35.20743113,694.8881938,03/12/2017 08:37,Approx. w-center algo1,0,0,0,354,06:ae:db:3a:64:05,BezeqFree,1,-84,32.10245839,35.20743113,694.8881938,03/12/2017 08:37
398,08:97:58:32:a6:3e,NIPPON_2516,3,-73,32.10572051,35.20975997,688.5550301,03/12/2017 08:38,Approx. w-center algo1,0,0,0,179,08:97:58:32:a6:3e,NIPPON_2516,3,-73,32.10572051,35.20975997,688.5550301,03/12/2017 08:38
369,08:ed:b9:3d:8f:4b,HP-Print-4b-LaserJet 400,6,-89,32.1049281,35.21028241,722.9373547,03/12/2017 08:45,Approx. w-center algo1,0,0,0,383,08:ed:b9:3d:8f:4b,HP-Print-4b-LaserJet 400,6,-89,32.1049281,35.21028241,722.9373547,03/12/2017 08:45
331,10:0d:7f:7c:90:0a,Malibu,11,-91,32.1020859,35.20993739,692,03/12/2017 08:46,Approx. w-center algo1,0,0,0,145,10:0d:7f:7c:90:0a,Malibu,11,-91,32.1020859,35.20993739,692,03/12/2017 08:46
223,10:be:f5:36:02:e2,TOP-SECRET,8,-82,32.10614939,35.21138727,688.8993666,03/12/2017 08:39,Approx. w-center algo1,0,0,0,261,10:be:f5:36:02:e2,TOP-SECRET,8,-82,32.10614939,35.21138727,688.8993666,03/12/2017 08:39
138,10:be:f5:39:8f:f2,LARISA,3,-86,32.10251814,35.20734901,698.9056862,03/12/2017 08:37,Approx. w-center algo1,0,0,0,150,10:be:f5:39:8f:f2,LARISA,3,-86,32.10251814,35.20734901,698.9056862,03/12/2017 08:37
257,10:be:f5:3b:68:2c,Hagar,11,-87,32.10252819,35.2073457,700.1622739,03/12/2017 08:37,Approx. w-center algo1,0,0,0,307,10:be:f5:3b:68:2c,Hagar,11,-87,32.10252819,35.2073457,700.1622739,03/12/2017 08:37
370,10:be:f5:a7:b4:f4,Home,7,-87,32.10251814,35.20734901,698.9056862,03/12/2017 08:37,Approx. w-center algo1,0,0,0,117,10:be:f5:a7:b4:f4,Home,7,-87,32.10251814,35.20734901,698.9056862,03/12/2017 08:37
248,14:ae:db:32:52:12,surikat,6,-89,32.1025333,35.20726399,699.2877605,03/12/2017 08:37,Approx. w-center algo1,0,0,0,125,14:ae:db:32:52:12,surikat,6,-89,32.1025333,35.20726399,699.2877605,03/12/2017 08:37
147,14:ae:db:3a:64:05,tanya,1,-86,32.10252819,35.2073457,700.1622739,03/12/2017 08:37,Approx. w-center algo1,0,0,0,115,14:ae:db:3a:64:05,tanya,1,-86,32.10252819,35.2073457,700.1622739,03/12/2017 08:37
246,14:ae:db:43:88:35,BEZEQINT-8831,6,-85,32.10251582,35.20733918,697.9931738,03/12/2017 08:37,Approx. w-center algo1,0,0,0,371,14:ae:db:43:88:35,BEZEQINT-8831,6,-85,32.10251582,35.20733918,697.9931738,03/12/2017 08:37
376,14:ae:db:4f:50:75,GuyEmily,6,-85,32.10219395,35.21000358,700.9890868,03/12/2017 08:46,Approx. w-center algo1,0,0,0,147,14:ae:db:4f:50:75,GuyEmily,6,-85,32.10219395,35.21000358,700.9890868,03/12/2017 08:46
15,14:ae:db:58:0d:6d,__ery,11,-91,32.10258799,35.20759021,693.1085203,03/12/2017 08:37,Approx. w-center algo1,0,0,0,87,14:ae:db:58:0d:6d,__ery,11,-91,32.10258799,35.20759021,693.1085203,03/12/2017 08:37
326,14:ae:db:cb:05:f5,Mama,11,-90,32.10245839,35.20743113,694.8881938,03/12/2017 08:37,Approx. w-center algo1,0,0,0,92,14:ae:db:cb:05:f5,Mama,11,-90,32.10245839,35.20743113,694.8881938,03/12/2017 08:37
200,14:ae:db:cf:86:f5,Biren2809,11,-91,32.10314761,35.20814477,691.7941043,03/12/2017 08:37,Approx. w-center algo1,0,0,0,216,14:ae:db:cf:86:f5,Biren2809,11,-91,32.10314761,35.20814477,691.7941043,03/12/2017 08:37
380,18:d6:c7:ad:25:1a, ,13,-89,32.10494483,35.2104469,717.6172124,03/12/2017 08:49,Approx. w-center algo1,0,0,0,291,18:d6:c7:ad:25:1a, ,13,-89,32.10494483,35.2104469,717.6172124,03/12/2017 08:49
122,1c:b9:c4:12:7c:c8,Ariel_University,11,-65,32.10318312,35.20874755,698.1321532,03/12/2017 08:45,Approx. w-center algo1,0,0,0,194,1c:b9:c4:12:7c:c8,Ariel_University,11,-65,32.10318312,35.20874755,698.1321532,03/12/2017 08:41
160,1c:b9:c4:12:7c:cc,Ariel_University,36,-81,32.10302115,35.2088139,691.9923582,03/12/2017 08:41,Approx. w-center algo1,0,0,0,171,1c:b9:c4:12:7c:cc,Ariel_University,36,-81,32.10302115,35.2088139,691.9923582,03/12/2017 08:41
128,1c:b9:c4:12:90:b8,Ariel_University,11,-74,32.10297747,35.20879732,701.9387633,03/12/2017 08:46,Approx. w-center algo1,0,0,0,110,1c:b9:c4:12:90:b8,Ariel_University,11,-74,32.10297747,35.20879732,701.9387633,03/12/2017 08:41
139,1c:b9:c4:12:90:bc,Ariel_University,40,-77,32.10318779,35.20891229,694.5728241,03/12/2017 08:41,Approx. w-center algo1,0,0,0,79,1c:b9:c4:12:90:bc,Ariel_University,40,-77,32.10318779,35.20891229,694.5728241,03/12/2017 08:41
258,1c:b9:c4:12:af:78,Ariel_University,11,-60,32.10334771,35.2100054,698.4657151,03/12/2017 09:08,Approx. w-center algo1,0,0,0,335,1c:b9:c4:12:af:78,Ariel_University,11,-60,32.10334771,35.2100054,698.4657151,03/12/2017 08:42
247,1c:b9:c4:12:af:7c,Ariel_University,40,-76,32.10297518,35.20967919,697.3000449,03/12/2017 09:01,Approx. w-center algo1,0,0,0,316,1c:b9:c4:12:af:7c,Ariel_University,40,-76,32.10297518,35.20967919,697.3000449,03/12/2017 08:42
127,1c:b9:c4:14:2b:88,Ariel_University,11,-72,32.10334261,35.20995771,698.4074362,03/12/2017 09:03,Approx. w-center algo1,0,0,0,359,1c:b9:c4:14:2b:88,Ariel_University,11,-72,32.10334261,35.20995771,698.4074362,03/12/2017 08:42
146,1c:b9:c4:14:2b:8c,Ariel_University,44,-90,32.10338816,35.20978021,713.0579803,03/12/2017 08:46,Approx. w-center algo1,0,0,0,337,1c:b9:c4:14:2b:8c,Ariel_University,44,-90,32.10338816,35.20978021,713.0579803,03/12/2017 08:46
24,1c:b9:c4:14:2b:c8,Ariel_University,6,-69,32.10502885,35.21109434,701.190273,03/12/2017 08:44,Approx. w-center algo1,1.911E-05,-3.079E-05,-1.2741894,48,1c:b9:c4:14:2b:c8,Ariel_University,6,-69,32.10500974,35.21112513,702.4644624,03/12/2017 08:40
382,1c:b9:c4:14:2b:cc,Ariel_University,36,-79,32.10504393,35.21106961,702.0456995,03/12/2017 08:44,Approx. w-center algo1,0,0,0,26,1c:b9:c4:14:2b:cc,Ariel_University,36,-79,32.10504393,35.21106961,702.0456995,03/12/2017 08:40
40,1c:b9:c4:14:2b:d8,Ariel_University,1,-63,32.10239322,35.20935115,693.5101065,03/12/2017 08:58,Approx. w-center algo1,0,0,0,31,1c:b9:c4:14:2b:d8,Ariel_University,1,-63,32.10239322,35.20935115,693.5101065,03/12/2017 08:41
393,1c:b9:c4:14:2b:dc,Ariel_University,36,-69,32.10217804,35.20935508,696.8465233,03/12/2017 08:46,Approx. w-center algo1,0,0,0,10,1c:b9:c4:14:2b:dc,Ariel_University,36,-69,32.10217804,35.20935508,696.8465233,03/12/2017 08:41
186,1c:b9:c4:14:2c:18,Ariel_University,1,-75,32.10240106,35.20914456,697.9423213,03/12/2017 08:54,Approx. w-center algo1,0,0,0,136,1c:b9:c4:14:2c:18,Ariel_University,1,-75,32.10240106,35.20914456,697.9423213,03/12/2017 08:41
218,1c:b9:c4:14:2c:38,Ariel_University,6,-70,32.1027578,35.20984184,694.9082543,03/12/2017 09:04,Approx. w-center algo1,-5.54E-05,9.99E-06,-0.9888564,99,1c:b9:c4:14:2c:38,Ariel_University,6,-70,32.1028132,35.20983185,695.8971107,03/12/2017 08:42
107,1c:b9:c4:14:2c:3c,Ariel_University,52,-75,32.10301675,35.20996483,694.3706764,03/12/2017 09:09,Approx. w-center algo1,0,0,0,71,1c:b9:c4:14:2c:3c,Ariel_University,52,-75,32.10301675,35.20996483,694.3706764,03/12/2017 08:51
27,1c:b9:c4:14:2f:68,Ariel_University,6,-67,32.10271363,35.20879683,697.5388366,03/12/2017 08:46,Approx. w-center algo1,-7.3E-07,-1.867E-05,0.8806217,258,1c:b9:c4:14:2f:68,Ariel_University,6,-67,32.10271436,35.2088155,696.6582149,03/12/2017 08:41
379,1c:b9:c4:14:2f:6c,Ariel_University,36,-76,32.10263475,35.20893995,690.5293944,03/12/2017 08:41,Approx. w-center algo1,0,0,0,229,1c:b9:c4:14:2f:6c,Ariel_University,36,-76,32.10263475,35.20893995,690.5293944,03/12/2017 08:41
295,1c:b9:c4:14:2f:a8,Ariel_University,1,-87,32.10591114,35.21043702,688.6622483,03/12/2017 08:39,Approx. w-center algo1,0,0,0,351,1c:b9:c4:14:2f:a8,Ariel_University,1,-87,32.10591114,35.21043702,688.6622483,03/12/2017 08:38
112,1c:b9:c4:14:30:08,Ariel_University,1,-81,32.10501115,35.21068038,697.5475607,03/12/2017 08:45,Approx. w-center algo1,0,0,0,67,1c:b9:c4:14:30:08,Ariel_University,1,-81,32.10501115,35.21068038,697.5475607,03/12/2017 08:40
136,1c:b9:c4:14:30:0c,Ariel_University,36,-85,32.10506215,35.21071549,692.6868607,03/12/2017 08:40,Approx. w-center algo1,0,0,0,40,1c:b9:c4:14:30:0c,Ariel_University,36,-85,32.10506215,35.21071549,692.6868607,03/12/2017 08:40
161,1c:b9:c4:14:30:38,Ariel_University,1,-65,32.10290545,35.20970539,700.3733127,03/12/2017 09:04,Approx. w-center algo1,0,0,0,15,1c:b9:c4:14:30:38,Ariel_University,1,-65,32.10290545,35.20970539,700.3733127,03/12/2017 08:42
70,1c:b9:c4:14:30:3c,Ariel_University,44,-80,32.1029853,35.2096927,701.7019225,03/12/2017 09:03,Approx. w-center algo1,0,0,0,410,1c:b9:c4:14:30:3c,Ariel_University,44,-80,32.1029853,35.2096927,701.7019225,03/12/2017 08:42
277,1c:b9:c4:14:33:c8,Ariel_University,11,-72,32.10259323,35.20914946,692.4780358,03/12/2017 08:51,Approx. w-center algo1,0,0,0,257,1c:b9:c4:14:33:c8,Ariel_University,11,-72,32.10259323,35.20914946,692.4780358,03/12/2017 08:37
166,1c:b9:c4:14:33:cc,Ariel_University,48,-78,32.10251676,35.20903078,695.9738184,03/12/2017 08:50,Approx. w-center algo1,0,0,0,228,1c:b9:c4:14:33:cc,Ariel_University,48,-78,32.10251676,35.20903078,695.9738184,03/12/2017 08:37
91,1c:b9:c4:14:36:f8,Ariel_University,6,-78,32.10451988,35.21127957,694.648281,03/12/2017 08:42,Approx. w-center algo1,0,0,0,393,1c:b9:c4:14:36:f8,Ariel_University,6,-78,32.10451988,35.21127957,694.648281,03/12/2017 08:40
7,1c:b9:c4:14:36:fc,Ariel_University,36,-84,32.10423236,35.21117845,704.2993114,03/12/2017 08:47,Approx. w-center algo1,0,0,0,368,1c:b9:c4:14:36:fc,Ariel_University,36,-84,32.10423236,35.21117845,704.2993114,03/12/2017 08:42
207,1c:b9:c4:14:62:48,Ariel_University,11,-69,32.10375692,35.20943654,696.8315529,03/12/2017 08:45,Approx. w-center algo1,0,0,0,43,1c:b9:c4:14:62:48,Ariel_University,11,-69,32.10375692,35.20943654,696.8315529,03/12/2017 08:40
130,1c:b9:c4:14:62:4c,Ariel_University,36,-74,32.10457103,35.2096085,692.8918491,03/12/2017 08:40,Approx. w-center algo1,0,0,0,19,1c:b9:c4:14:62:4c,Ariel_University,36,-74,32.10457103,35.2096085,692.8918491,03/12/2017 08:40
230,1c:b9:c4:15:1b:88,Ariel_University,11,-81,32.102086,35.20928814,690.0247298,03/12/2017 08:50,Approx. w-center algo1,0,0,0,230,1c:b9:c4:15:1b:88,Ariel_University,11,-81,32.102086,35.20928814,690.0247298,03/12/2017 08:41
313,1c:b9:c4:15:1b:8c,Ariel_University,58,-87,32.10202729,35.20947063,690.8338173,03/12/2017 08:50,Approx. w-center algo1,0,0,0,204,1c:b9:c4:15:1b:8c,Ariel_University,58,-87,32.10202729,35.20947063,690.8338173,03/12/2017 08:41
389,1c:b9:c4:15:1c:b8,Ariel_University,1,-75,32.10362743,35.20942786,702.2091647,03/12/2017 09:07,Approx. w-center algo1,0.00027091,0.00010633,-0.4651983,411,1c:b9:c4:15:1c:b8,Ariel_University,1,-75,32.10335652,35.20932153,702.674363,03/12/2017 08:41
47,1c:b9:c4:15:1c:bc,Ariel_University,36,-90,32.10338816,35.20978021,713.0579803,03/12/2017 08:46,Approx. w-center algo1,0,0,0,390,1c:b9:c4:15:1c:bc,Ariel_University,36,-90,32.10338816,35.20978021,713.0579803,03/12/2017 08:46
340,1c:b9:c4:15:1e:68,Ariel_University,1,-81,32.10278633,35.21004341,691.9949333,03/12/2017 08:42,Approx. w-center algo1,0,0,0,32,1c:b9:c4:15:1e:68,Ariel_University,1,-81,32.10278633,35.21004341,691.9949333,03/12/2017 08:41
330,1c:b9:c4:15:1e:6c,Ariel_University,36,-89,32.10251279,35.20963303,693.2846435,03/12/2017 08:41,Approx. w-center algo1,0,0,0,11,1c:b9:c4:15:1e:6c,Ariel_University,36,-89,32.10251279,35.20963303,693.2846435,03/12/2017 08:41
312,1c:b9:c4:15:20:38,Ariel_University,11,-82,32.10481947,35.21014194,697.8852428,03/12/2017 08:53,Approx. w-center algo1,0,0,0,297,1c:b9:c4:15:20:38,Ariel_University,11,-82,32.10481947,35.21014194,697.8852428,03/12/2017 08:40
57,1c:b9:c4:15:23:58,Ariel_University,6,-78,32.10405247,35.20912685,689.9727887,03/12/2017 08:50,Approx. w-center algo1,0,0,0,38,1c:b9:c4:15:23:58,Ariel_University,6,-78,32.10405247,35.20912685,689.9727887,03/12/2017 08:41
35,1c:b9:c4:15:23:5c,Ariel_University,36,-91,32.1040793,35.20894494,693.2106003,03/12/2017 08:41,Approx. w-center algo1,0,0,0,16,1c:b9:c4:15:23:5c,Ariel_University,36,-91,32.1040793,35.20894494,693.2106003,03/12/2017 08:41
82,1c:b9:c4:15:25:48,Ariel_University,1,-72,32.10469337,35.20991503,701.7923476,03/12/2017 08:45,Approx. w-center algo1,0,0,0,200,1c:b9:c4:15:25:48,Ariel_University,1,-72,32.10469337,35.20991503,701.7923476,03/12/2017 08:40
74,1c:b9:c4:15:25:4c,Ariel_University,44,-87,32.10474846,35.21005988,687,03/12/2017 08:45,Approx. w-center algo1,0,0,0,177,1c:b9:c4:15:25:4c,Ariel_University,44,-87,32.10474846,35.21005988,687,03/12/2017 08:45
110,1c:b9:c4:15:34:b8,Ariel_University,6,-92,32.10493192,35.21025667,692.7030959,03/12/2017 08:40,Approx. w-center algo1,0,0,0,161,1c:b9:c4:15:34:b8,Ariel_University,6,-92,32.10493192,35.21025667,692.7030959,03/12/2017 08:40
212,1c:b9:c4:15:34:bc,Ariel_University,36,-90,32.1049281,35.21028241,722.9373547,03/12/2017 08:45,Approx. w-center algo1,0,0,0,140,1c:b9:c4:15:34:bc,Ariel_University,36,-90,32.1049281,35.21028241,722.9373547,03/12/2017 08:45
145,1c:b9:c4:15:36:98,Ariel_University,1,-81,32.10515115,35.21116458,700.3504653,03/12/2017 08:44,Approx. w-center algo1,0,0,0,149,1c:b9:c4:15:36:98,Ariel_University,1,-81,32.10515115,35.21116458,700.3504653,03/12/2017 08:39
124,1c:b9:c4:15:36:9c,Ariel_University,36,-82,32.10519176,35.21121997,703.6200349,03/12/2017 08:44,Approx. w-center algo1,0,0,0,131,1c:b9:c4:15:36:9c,Ariel_University,36,-82,32.10519176,35.21121997,703.6200349,03/12/2017 08:39
76,1c:b9:c4:15:3a:28,Ariel_University,1,-87,32.10544864,35.21192983,691.5885471,03/12/2017 08:39,Approx. w-center algo1,0,0,0,205,1c:b9:c4:15:3a:28,Ariel_University,1,-87,32.10544864,35.21192983,691.5885471,03/12/2017 08:39
103,1c:b9:c4:15:3a:2c,Ariel_University,36,-92,32.10533815,35.21187488,692.0554072,03/12/2017 08:39,Approx. w-center algo1,0,0,0,183,1c:b9:c4:15:3a:2c,Ariel_University,36,-92,32.10533815,35.21187488,692.0554072,03/12/2017 08:39
85,1c:b9:c4:15:3a:38,Ariel_University,11,-74,32.10203099,35.20951543,699.432782,03/12/2017 08:54,Approx. w-center algo1,0,0,0,190,1c:b9:c4:15:3a:38,Ariel_University,11,-74,32.10203099,35.20951543,699.432782,03/12/2017 08:41
